iter	RMSE
0	1651.738074
1	1604.411871
2	1559.977569
3	1519.921161
4	1480.558944
5	1446.403729
6	1412.649604
7	1382.016396
8	1354.484602
9	1328.415679
10	1306.122986
11	1284.668745
12	1266.017976
13	1248.253757
14	1231.895054
15	1216.490407
16	1203.504776
17	1191.437192
18	1181.751721
19	1171.378828
20	1161.867275
21	1152.994302
22	1145.312734
23	1138.080067
24	1132.604888
25	1126.619082
26	1120.612874
27	1115.629465
28	1111.454821
29	1106.86767
30	1103.387894
31	1100.58164
32	1097.282175
33	1094.587469
34	1091.357896
35	1088.914163
36	1086.40137
37	1084.610165
38	1082.560132
39	1080.693352
40	1078.856428
41	1077.263172
42	1075.825374
43	1074.367876
44	1072.786428
45	1071.337499
46	1070.081477
47	1069.140989
48	1068.175166
49	1067.413841
50	1066.35725
51	1065.493354
52	1064.834214
53	1064.078593
54	1063.303927
55	1062.50893
56	1061.961347
57	1061.080493
58	1060.533383
59	1060.209195
60	1059.437588
61	1059.077886
62	1058.520009
63	1057.893866
64	1057.337792
65	1056.893777
66	1056.310545
67	1055.613183
68	1055.140934
69	1054.813178
70	1054.197265
71	1053.808185
72	1053.325906
73	1052.730417
74	1052.513591
75	1051.603167
76	1051.046305
77	1050.773503
78	1050.521037
79	1050.154349
80	1049.62299
81	1049.164316
82	1048.862308
83	1048.392668
84	1047.978706
85	1047.757626
86	1047.091534
87	1046.80494
88	1046.288194
89	1046.095428
90	1045.560296
91	1045.292619
92	1044.940664
93	1044.34257
94	1044.007166
95	1043.26803
96	1042.960496
97	1042.512319
98	1042.030831
99	1041.437248
100	1041.263479
101	1041.060155
102	1040.597193
103	1040.314839
104	1039.88287
105	1039.624755
106	1039.535742
107	1039.161016
108	1038.795688
109	1038.643338
110	1038.403595
111	1037.993975
112	1037.544057
113	1037.040755
114	1036.756175
115	1036.289734
116	1035.981461
117	1035.372665
118	1034.927015
119	1034.186017
120	1033.873089
121	1033.449767
122	1033.29545
123	1033.243276
124	1032.857707
125	1032.696673
126	1032.4314
127	1032.103427
128	1031.73928
129	1030.890958
130	1030.494779
131	1029.965294
132	1029.696039
133	1029.363765
134	1029.087689
135	1028.790352
136	1028.488186
137	1028.032658
138	1027.847341
139	1027.582369
140	1027.382416
141	1027.029488
142	1026.575487
143	1026.06947
144	1025.566855
145	1025.379456
146	1025.012942
147	1024.447874
148	1024.249113
149	1024.014504
150	1023.700735
151	1023.157784
152	1022.579454
153	1022.174695
154	1021.694165
155	1021.362244
156	1020.754126
157	1020.466219
158	1020.192305
159	1019.883648
160	1019.417655
161	1019.205024
162	1018.72978
163	1018.381919
164	1017.942236
165	1017.496147
166	1017.255115
167	1016.993139
168	1016.830263
169	1016.393102
170	1016.134471
171	1015.680147
172	1015.25796
173	1014.77367
174	1014.385767
175	1014.224053
176	1014.076064
177	1013.669898
178	1013.266232
179	1012.797035
180	1012.489329
181	1012.232318
182	1011.802025
183	1011.35526
184	1010.983012
185	1010.690894
186	1010.318901
187	1009.988013
188	1009.692229
189	1009.420534
190	1009.090253
191	1008.75246
192	1008.49876
193	1007.998212
194	1007.579093
195	1007.088607
196	1006.648691
197	1006.381418
198	1006.066339
199	1005.789632
200	1005.476098
201	1004.976953
202	1004.555386
203	1004.059883
204	1003.551019
205	1003.267401
206	1002.817684
207	1002.363222
208	1002.080281
209	1001.862914
210	1001.157793
211	1000.920091
212	1000.700386
213	1000.301396
214	999.8803531
215	999.6328453
216	999.4462013
217	999.1992514
218	998.8064849
219	998.5363722
220	998.2770441
221	997.775586
222	997.3847982
223	997.0070739
224	996.6907607
225	996.5372917
226	996.2311727
227	995.9306138
228	995.3797499
229	995.2045377
230	994.9076212
231	994.7345138
232	994.4235944
233	993.9235951
234	993.6258382
235	993.3188741
236	992.8133751
237	992.1965303
238	991.8506748
239	991.6878056
240	991.4715944
241	991.1483321
242	990.6795622
243	990.343614
244	990.0210782
245	989.6705615
246	989.457521
247	989.0699166
248	988.7224564
249	988.1465759
250	987.4633398
251	987.1556573
252	987.0282418
253	986.6588182
254	986.3438701
255	986.1002561
256	985.6492254
257	985.5006993
258	985.1766145
259	984.8922694
260	984.4319044
261	984.0929733
262	983.6301183
263	983.3863438
264	983.109512
265	982.7776574
266	982.4137704
267	982.1437237
268	981.8355879
269	981.6973003
270	981.3669529
271	981.0110306
272	980.7444994
273	980.3677278
274	980.1196275
275	979.7637969
276	979.4493187
277	979.1900965
278	978.9409768
279	978.4102061
280	978.1999348
281	977.8090699
282	977.4775752
283	977.2026318
284	976.9259556
285	976.4402742
286	975.9894304
287	975.6767159
288	975.2553327
289	974.7158481
290	974.2825895
291	973.9164564
292	973.4796061
293	973.2457507
294	972.8840043
295	972.6559247
296	972.3709976
297	972.0929759
298	971.7444615
299	971.4777724
300	971.3242475
301	971.0385476
302	970.8065174
303	970.3947566
304	970.0747349
305	969.8760094
306	969.5489674
307	969.2159199
308	968.5501473
309	968.2263925
310	967.9190418
311	967.6284634
312	967.1827599
313	966.9691382
314	966.5652063
315	966.3196396
316	965.9477037
317	965.5741873
318	965.1690688
319	964.8203441
320	964.6558085
321	964.2606376
322	963.8974952
323	963.7112728
324	963.5039741
325	963.1824473
326	962.9077946
327	962.8171161
328	962.4687399
329	962.2750728
330	961.8731511
331	961.5354528
332	961.3656056
333	960.8635781
334	960.7372917
335	960.3392204
336	960.0488042
337	959.7781725
338	959.4084319
339	959.0673201
340	958.6136755
341	958.2386717
342	957.9815032
343	957.6970882
344	957.4944151
345	957.062122
346	956.9131908
347	956.5560292
348	956.201757
349	955.8918735
350	955.6831436
351	955.3770051
352	955.1681594
353	954.867633
354	954.6911414
355	954.2113542
356	954.0952706
357	953.8381452
358	953.4417666
359	953.2675747
360	952.8924096
361	952.5892557
362	952.3972531
363	951.8225203
364	951.4383919
365	951.2668629
366	951.1860929
367	951.0848165
368	950.82262
369	950.3788083
370	950.0668249
371	949.8720506
372	949.7244152
373	949.5203343
374	949.3661285
375	949.1363214
376	948.9627505
377	948.6594956
378	948.4343576
379	948.1939885
380	947.7399969
381	947.5114153
382	947.2664477
383	947.1217599
384	946.719693
385	946.1774063
386	945.9656289
387	945.7504376
388	945.2916791
389	944.9098051
390	944.7796164
391	944.594966
392	944.2754908
393	943.8924173
394	943.5949925
395	943.343508
396	943.0570266
397	942.9434854
398	942.5960858
399	942.4032644
400	942.1277207
401	941.816899
402	941.6389566
403	941.2781634
404	941.0331402
