iter	RMSE
0	1646.584829
1	1598.253241
2	1554.6232
3	1514.675036
4	1475.514943
5	1441.266766
6	1408.714789
7	1378.693386
8	1351.513519
9	1325.522735
10	1301.980041
11	1280.343225
12	1261.684045
13	1244.614469
14	1228.634299
15	1212.496225
16	1199.267958
17	1186.259532
18	1174.839937
19	1164.992509
20	1155.739405
21	1147.048232
22	1140.343327
23	1132.902088
24	1125.870494
25	1119.69208
26	1113.937901
27	1109.327171
28	1104.845359
29	1100.890309
30	1096.754984
31	1093.262838
32	1089.835643
33	1087.368519
34	1084.63146
35	1082.519811
36	1080.153513
37	1078.223228
38	1076.35472
39	1074.335701
40	1072.692328
41	1071.047779
42	1069.579982
43	1068.407593
44	1067.144648
45	1065.782804
46	1064.734413
47	1063.646273
48	1062.740804
49	1061.800445
50	1060.895693
51	1060.16848
52	1059.431951
53	1058.897014
54	1058.195251
55	1057.445931
56	1056.820061
57	1056.299776
58	1055.612937
59	1054.764037
60	1054.205034
61	1053.804849
62	1053.162122
63	1052.738849
64	1052.025031
65	1051.683249
66	1050.665595
67	1050.115803
68	1049.277421
69	1048.297481
70	1047.548984
71	1047.050819
72	1046.665169
73	1046.223722
74	1045.674646
75	1045.515023
76	1044.805712
77	1044.402763
78	1043.926049
79	1043.492354
80	1042.951056
81	1042.299206
82	1042.084279
83	1041.504302
84	1040.925553
85	1040.68003
86	1040.046391
87	1039.47994
88	1039.081685
89	1038.861954
90	1038.664754
91	1037.859877
92	1037.215855
93	1036.331957
94	1035.887379
95	1035.543062
96	1034.934606
97	1034.535964
98	1033.991083
99	1033.850042
100	1033.496076
101	1033.185889
102	1032.812043
103	1032.386445
104	1031.834399
105	1031.387973
106	1031.075012
107	1030.733187
108	1029.9785
109	1029.686082
110	1029.340841
111	1029.076725
112	1028.756644
113	1028.221633
114	1027.943836
115	1027.586036
116	1027.444296
117	1027.213081
118	1026.916881
119	1026.570166
120	1026.211479
121	1025.695945
122	1025.391208
123	1025.190424
124	1024.832443
125	1024.200698
126	1023.940945
127	1023.167111
128	1022.680215
129	1022.130829
130	1021.954268
131	1021.666373
132	1020.979009
133	1020.654622
134	1020.434318
135	1020.04091
136	1019.691986
137	1019.313374
138	1018.882249
139	1018.427467
140	1017.839799
141	1017.475788
142	1017.188018
143	1017.063489
144	1016.915763
145	1016.539837
146	1016.104884
147	1015.682613
148	1015.235658
149	1015.022424
150	1014.675137
151	1014.389207
152	1014.087446
153	1013.746636
154	1013.481459
155	1013.198365
156	1012.849971
157	1012.492127
158	1012.189694
159	1011.938345
160	1011.591489
161	1011.397374
162	1010.936764
163	1010.514428
164	1010.012428
165	1009.633648
166	1009.233191
167	1008.908064
168	1008.485197
169	1008.168481
170	1007.774503
171	1007.562282
172	1007.008758
173	1006.69588
174	1006.489877
175	1006.146381
176	1005.746702
177	1005.550406
178	1005.131978
179	1004.90954
180	1004.576469
181	1004.295111
182	1003.967683
183	1003.602485
184	1003.155922
185	1002.789147
186	1002.61424
187	1002.304337
188	1001.826744
189	1001.566184
190	1001.30682
191	1000.896269
192	1000.557719
193	1000.3673
194	999.5410668
195	999.1322503
196	998.9154362
197	998.6517108
198	998.075013
199	997.4442652
200	997.0554355
201	996.7347912
202	996.3906515
203	995.9737966
204	995.7040706
205	995.3616211
206	994.9027372
207	994.3946088
208	994.0658632
209	993.7892697
210	993.4570491
211	993.1378528
212	992.823274
213	992.6420562
214	992.3111477
215	991.8274477
216	991.4402359
217	991.0911942
218	990.6581113
219	990.2699937
220	989.7782215
221	989.4447419
222	989.0954446
223	988.6690865
224	988.5000782
225	988.1411743
226	987.7690351
227	987.4182789
228	986.9797065
229	986.5317588
230	985.9973496
231	985.6563876
232	985.4047607
233	984.9357079
234	984.7513476
235	984.2921156
236	984.0205687
237	983.6325181
238	983.2470241
239	982.8573751
240	982.7047567
241	982.3379237
242	981.8348873
243	981.4711809
244	980.9924747
245	980.6996146
246	980.2504697
247	979.905987
248	979.5481229
249	979.162315
250	978.8384561
251	978.5987249
252	978.1944263
253	977.8261846
254	977.629457
255	977.3392196
256	976.9660761
257	976.5931172
258	976.2401463
259	975.8640069
260	975.5374365
261	975.2249821
262	974.8219289
263	974.5281704
264	974.1973883
265	974.0044114
266	973.7150303
