iter	Passed	Remaining
0	2	2061
1	3	1904
2	5	1801
3	7	1758
4	8	1738
5	10	1725
6	12	1734
7	13	1722
8	15	1733
9	17	1733
10	19	1723
11	20	1702
12	22	1688
13	23	1674
14	25	1681
15	27	1677
16	29	1677
17	30	1677
18	32	1669
19	34	1666
20	35	1659
21	37	1652
22	38	1632
23	39	1626
24	42	1642
25	43	1641
26	45	1647
27	47	1643
28	48	1640
29	50	1635
30	52	1634
31	53	1628
32	55	1621
33	56	1608
34	58	1614
35	60	1617
36	62	1620
37	63	1618
38	65	1613
39	67	1609
40	68	1606
41	70	1600
42	71	1599
43	73	1603
44	75	1604
45	78	1619
46	79	1620
47	81	1617
48	83	1618
49	85	1615
50	86	1610
51	88	1610
52	90	1610
53	92	1615
54	94	1619
55	96	1625
56	97	1621
57	99	1614
58	100	1606
59	102	1600
60	103	1596
61	105	1593
62	107	1593
63	109	1595
64	110	1593
65	112	1592
66	114	1588
67	115	1584
68	117	1579
69	118	1573
70	120	1571
71	121	1569
72	123	1568
73	125	1564
74	126	1562
75	128	1556
76	129	1552
77	131	1551
78	132	1548
79	134	1546
80	135	1542
81	137	1539
82	139	1537
83	140	1536
84	142	1535
85	144	1532
86	145	1529
87	147	1524
88	148	1519
89	150	1517
90	151	1514
91	153	1512
92	154	1510
93	156	1509
94	157	1504
95	159	1498
96	160	1493
97	161	1489
98	163	1484
99	164	1481
100	166	1479
101	167	1478
102	169	1478
103	171	1478
104	173	1479
105	175	1476
106	176	1474
107	178	1470
108	179	1465
109	180	1462
110	182	1459
111	183	1456
112	185	1454
113	187	1453
114	188	1452
115	190	1449
116	191	1447
117	193	1444
118	194	1443
119	196	1441
120	198	1440
121	199	1439
122	201	1437
123	203	1437
124	205	1435
125	206	1433
126	207	1429
127	209	1426
128	210	1422
129	212	1420
130	213	1416
131	214	1412
132	216	1411
133	218	1410
134	219	1408
135	221	1408
136	223	1406
137	224	1403
138	226	1400
139	227	1397
140	229	1395
141	230	1392
142	231	1390
143	233	1387
144	235	1386
145	237	1386
146	238	1383
147	240	1382
148	241	1379
149	242	1376
150	244	1373
151	245	1370
152	247	1367
153	248	1367
154	250	1366
155	252	1367
156	254	1364
157	255	1362
158	256	1359
159	258	1356
160	259	1354
161	261	1351
162	262	1349
163	264	1346
164	265	1344
165	267	1343
166	269	1342
167	270	1341
168	272	1340
169	274	1338
170	275	1336
171	277	1333
172	278	1331
173	280	1329
174	281	1327
175	283	1326
176	284	1325
177	286	1323
178	287	1320
179	289	1317
180	290	1315
181	292	1312
182	293	1310
183	294	1307
184	296	1306
185	298	1305
186	299	1303
187	301	1302
188	302	1300
189	304	1297
190	305	1295
191	307	1292
192	308	1289
193	309	1286
194	311	1284
195	312	1283
196	314	1282
197	316	1281
198	318	1280
199	319	1279
200	321	1277
201	322	1275
202	324	1273
203	325	1270
204	326	1268
205	328	1266
206	330	1264
207	331	1263
208	333	1261
209	334	1259
210	336	1256
211	337	1254
212	338	1251
213	340	1250
214	341	1248
215	343	1246
216	345	1246
217	347	1245
218	348	1243
219	350	1242
220	352	1241
221	353	1239
222	355	1238
223	356	1236
224	358	1233
225	359	1232
226	361	1231
227	363	1230
228	365	1229
229	367	1229
230	368	1227
231	370	1226
232	371	1224
233	373	1222
234	375	1221
235	376	1219
236	378	1218
237	380	1216
238	381	1215
239	383	1213
240	384	1210
241	385	1208
242	387	1205
243	388	1202
244	389	1200
245	391	1198
246	392	1196
247	394	1195
248	396	1195
249	397	1193
250	399	1192
251	401	1190
252	402	1188
253	404	1187
254	405	1185
255	406	1182
256	408	1181
257	410	1179
258	411	1178
259	413	1177
260	415	1176
261	416	1174
262	418	1172
263	420	1170
264	421	1168
265	422	1166
266	424	1164
267	425	1162
268	427	1161
269	429	1160
270	430	1158
271	431	1156
272	433	1153
273	434	1151
274	435	1149
275	437	1146
276	438	1144
277	439	1142
278	441	1140
279	442	1139
280	444	1137
281	445	1135
282	447	1133
283	448	1130
284	450	1129
285	451	1127
286	453	1126
287	454	1124
288	456	1122
289	457	1120
290	459	1119
291	460	1117
292	462	1116
293	464	1114
294	465	1113
295	467	1110
296	468	1108
297	469	1106
298	471	1104
299	472	1102
300	474	1101
301	476	1100
302	477	1098
303	479	1096
304	480	1095
305	481	1092
306	483	1091
307	484	1088
308	486	1087
309	487	1085
310	489	1084
311	491	1082
312	492	1080
313	493	1078
314	494	1076
315	496	1074
316	497	1072
317	499	1070
318	500	1068
319	501	1066
320	503	1064
321	504	1062
322	506	1060
323	507	1059
324	509	1057
325	510	1055
326	512	1054
327	513	1052
328	515	1051
329	516	1049
330	518	1047
331	519	1045
332	520	1043
333	522	1041
334	524	1040
335	525	1038
336	526	1036
337	528	1034
338	529	1032
339	530	1030
340	532	1028
341	533	1026
342	534	1024
343	536	1023
344	538	1022
345	540	1021
346	541	1019
347	543	1018
348	544	1016
349	546	1014
350	547	1012
351	548	1010
352	550	1009
353	551	1007
354	553	1006
355	555	1004
356	557	1003
357	558	1002
358	560	1000
359	561	998
360	563	997
361	564	995
362	565	992
363	567	990
364	568	989
365	570	988
366	572	986
367	573	985
368	575	983
369	576	981
370	577	979
371	579	977
372	580	975
373	581	973
374	582	971
375	584	969
376	586	968
377	588	967
378	590	966
379	591	965
380	593	963
381	594	962
382	596	960
383	597	958
384	599	957
385	600	955
386	602	954
387	604	953
388	606	952
389	607	950
390	609	949
391	610	947
392	612	946
393	613	943
394	615	942
395	616	940
396	617	938
397	619	937
398	621	935
399	622	934
400	624	932
401	626	931
402	627	929
403	628	927
404	630	926
405	631	924
406	633	922
407	635	921
408	636	920
409	638	918
410	639	917
411	641	915
412	642	913
413	643	911
414	645	909
415	646	908
416	648	906
417	649	904
418	651	902
419	652	901
420	654	900
421	656	898
422	657	897
423	659	895
424	660	893
425	662	892
426	663	890
427	665	889
428	666	887
429	668	886
430	670	884
431	671	882
432	672	881
433	674	879
434	675	877
435	676	875
436	678	873
437	679	871
438	681	870
439	683	869
440	685	868
441	687	867
442	688	865
443	689	863
444	691	862
445	692	860
446	694	858
447	695	856
448	696	855
449	698	853
450	700	852
451	701	851
452	703	849
453	705	848
454	706	846
455	708	845
456	709	843
457	711	841
458	712	839
459	713	838
460	715	836
461	717	835
462	718	833
463	719	831
464	721	829
465	722	828
466	724	826
467	725	824
468	726	823
469	728	821
470	729	819
471	731	818
472	733	817
473	735	815
474	736	814
475	738	812
476	739	810
477	741	809
478	742	807
479	744	806
480	745	804
481	747	802
482	748	801
483	750	799
484	752	798
485	753	797
486	755	795
487	756	794
488	758	792
489	759	790
490	761	789
491	762	787
492	764	786
493	765	784
494	767	782
495	768	781
496	770	779
497	771	777
498	773	776
499	774	774
500	775	772
501	777	771
502	779	769
503	781	768
504	782	767
505	783	765
506	785	763
507	786	761
508	787	759
509	789	758
510	790	756
511	792	755
512	793	753
513	795	752
514	797	750
515	798	749
516	800	748
517	802	746
518	804	745
519	805	743
520	806	741
521	808	740
522	809	738
523	811	736
524	812	735
525	814	733
526	815	732
527	817	730
528	818	728
529	819	727
530	821	725
531	822	723
532	823	721
533	825	720
534	827	718
535	828	717
536	829	715
537	831	713
538	832	712
539	833	710
540	835	708
541	836	706
542	837	704
543	838	703
544	840	701
545	841	699
546	843	698
547	844	696
548	846	695
549	847	693
550	848	691
551	850	690
552	851	688
553	852	686
554	854	684
555	855	683
556	856	681
557	858	679
558	859	678
559	861	676
560	862	674
561	863	673
562	865	671
563	866	669
564	867	668
565	869	666
566	870	664
567	871	662
568	872	661
569	874	659
570	876	658
571	877	656
572	878	654
573	880	653
574	881	651
575	882	649
576	883	647
577	885	646
578	886	644
579	887	642
580	889	641
581	890	639
582	892	638
583	893	636
584	894	634
585	896	633
586	897	631
587	898	629
588	900	628
589	901	626
590	902	624
591	903	622
592	905	621
593	907	620
594	909	618
595	910	617
596	912	616
597	914	614
598	916	613
599	918	612
600	919	610
601	921	609
602	924	608
603	926	607
604	928	606
605	929	604
606	931	603
607	933	601
608	934	600
609	936	598
610	938	597
611	940	596
612	942	594
613	944	593
614	945	592
615	947	590
616	948	589
617	950	587
618	952	586
619	954	584
620	956	583
621	957	582
622	959	580
623	960	578
624	962	577
625	964	575
626	965	574
627	967	573
628	968	571
629	970	570
630	972	568
631	974	567
632	975	565
633	976	563
634	978	562
635	979	560
636	981	559
637	982	557
638	983	555
639	985	554
640	986	552
641	988	550
642	989	549
643	990	547
644	991	545
645	993	544
646	994	542
647	995	540
648	997	539
649	998	537
650	999	535
651	1000	534
652	1002	532
653	1003	531
654	1005	529
655	1007	528
656	1008	526
657	1010	525
658	1011	523
659	1012	521
660	1014	520
661	1015	518
662	1017	516
663	1018	515
664	1020	514
665	1021	512
666	1023	510
667	1024	509
668	1026	507
669	1027	506
670	1028	504
671	1030	502
672	1031	501
673	1032	499
674	1034	498
675	1035	496
676	1037	495
677	1039	493
678	1040	491
679	1041	490
680	1043	488
681	1044	487
682	1046	485
683	1047	484
684	1049	482
685	1051	481
686	1052	479
687	1054	478
688	1056	476
689	1057	475
690	1059	473
691	1060	472
692	1062	470
693	1064	469
694	1066	468
695	1068	466
696	1070	465
697	1071	463
698	1073	462
699	1075	460
700	1077	459
701	1078	458
702	1080	456
703	1082	455
704	1084	453
705	1085	452
706	1087	450
707	1089	449
708	1091	447
709	1092	446
710	1094	444
711	1096	443
712	1097	441
713	1099	440
714	1101	438
715	1102	437
716	1104	435
717	1105	434
718	1106	432
719	1108	430
720	1109	429
721	1110	427
722	1111	425
723	1113	424
724	1114	422
725	1116	421
726	1117	419
727	1119	418
728	1120	416
729	1122	415
730	1123	413
731	1124	411
732	1125	410
733	1127	408
734	1128	406
735	1130	405
736	1131	403
737	1133	402
738	1134	400
739	1136	399
740	1137	397
741	1139	396
742	1140	394
743	1141	392
744	1143	391
745	1144	389
746	1146	388
747	1148	386
748	1149	385
749	1151	383
750	1152	382
751	1154	380
752	1155	379
753	1156	377
754	1158	375
755	1159	374
756	1161	372
757	1163	371
758	1165	369
759	1166	368
760	1168	367
761	1170	365
762	1172	364
763	1173	362
764	1174	360
765	1175	359
766	1177	357
767	1178	356
768	1180	354
769	1181	353
770	1183	351
771	1185	350
772	1186	348
773	1188	346
774	1189	345
775	1190	343
776	1192	342
777	1194	340
778	1195	339
779	1197	337
780	1198	336
781	1199	334
782	1201	332
783	1202	331
784	1203	329
785	1205	328
786	1206	326
787	1207	324
788	1209	323
789	1210	321
790	1212	320
791	1214	318
792	1216	317
793	1217	315
794	1219	314
795	1220	312
796	1222	311
797	1223	309
798	1225	308
799	1226	306
800	1228	305
801	1230	303
802	1231	302
803	1232	300
804	1233	298
805	1235	297
806	1236	295
807	1237	294
808	1238	292
809	1240	290
810	1241	289
811	1243	287
812	1244	286
813	1246	284
814	1247	283
815	1248	281
816	1249	279
817	1251	278
818	1252	276
819	1253	275
820	1255	273
821	1256	272
822	1257	270
823	1259	268
824	1260	267
825	1262	265
826	1263	264
827	1264	262
828	1266	261
829	1267	259
830	1268	258
831	1270	256
832	1271	254
833	1273	253
834	1275	251
835	1276	250
836	1278	248
837	1279	247
838	1280	245
839	1282	244
840	1283	242
841	1284	241
842	1286	239
843	1287	238
844	1289	236
845	1290	234
846	1292	233
847	1293	231
848	1295	230
849	1296	228
850	1298	227
851	1299	225
852	1300	224
853	1302	222
854	1303	221
855	1304	219
856	1306	217
857	1307	216
858	1309	214
859	1310	213
860	1311	211
861	1313	210
862	1314	208
863	1315	207
864	1317	205
865	1318	204
866	1319	202
867	1321	200
868	1322	199
869	1324	197
870	1325	196
871	1327	194
872	1328	193
873	1330	191
874	1332	190
875	1333	188
876	1335	187
877	1336	185
878	1338	184
879	1339	182
880	1341	181
881	1343	179
882	1344	178
883	1346	176
884	1347	175
885	1348	173
886	1350	172
887	1351	170
888	1352	168
889	1354	167
890	1355	165
891	1357	164
892	1359	162
893	1360	161
894	1361	159
895	1363	158
896	1364	156
897	1365	155
898	1367	153
899	1368	152
900	1370	150
901	1371	149
902	1373	147
903	1374	145
904	1375	144
905	1377	142
906	1378	141
907	1379	139
908	1381	138
909	1382	136
910	1383	135
911	1385	133
912	1386	132
913	1388	130
914	1389	129
915	1391	127
916	1392	126
917	1394	124
918	1395	122
919	1396	121
920	1398	119
921	1399	118
922	1400	116
923	1401	115
924	1403	113
925	1404	112
926	1406	110
927	1407	109
928	1409	107
929	1410	106
930	1411	104
931	1412	103
932	1414	101
933	1415	100
934	1416	98
935	1417	96
936	1419	95
937	1421	93
938	1422	92
939	1424	90
940	1425	89
941	1427	87
942	1428	86
943	1429	84
944	1431	83
945	1432	81
946	1433	80
947	1435	78
948	1436	77
949	1438	75
950	1439	74
951	1440	72
952	1442	71
953	1443	69
954	1444	68
955	1445	66
956	1447	65
957	1448	63
958	1449	61
959	1451	60
960	1452	58
961	1454	57
962	1455	55
963	1457	54
964	1458	52
965	1459	51
966	1461	49
967	1462	48
968	1463	46
969	1465	45
970	1466	43
971	1468	42
972	1470	40
973	1471	39
974	1473	37
975	1474	36
976	1476	34
977	1477	33
978	1479	31
979	1480	30
980	1482	28
981	1483	27
982	1485	25
983	1486	24
984	1488	22
985	1489	21
986	1490	19
987	1492	18
988	1493	16
989	1495	15
990	1496	13
991	1498	12
992	1499	10
993	1501	9
994	1502	7
995	1504	6
996	1505	4
997	1507	3
998	1508	1
999	1509	0
